alcohol,alcohol,alcohol
-0.02048347443695103,NA,NA
-0.01337117775435661,NA,NA
-0.016913182588372173,-0.016913182588372173,NA
-0.02591094287486353,-0.02591094287486353,-0.02591094287486353
-0.015277490716258597,NA,NA
-0.0011242140786375217,NA,NA
-0.04777810505221505,-0.04777810505221505,-0.04777810505221505
-0.019987287191905848,-0.019987287191905848,-0.019987287191905848
-0.019801315719592375,-0.019801315719592375,-0.019801315719592375
-0.01954624581406777,-0.01954624581406777,-0.01954624581406777
-0.02048347443695103,NA,NA
-0.018053137170913513,-0.018053137170913513,-0.018053137170913513
-0.039459467367960806,-0.039459467367960806,-0.039459467367960806
-0.01111851703362895,NA,NA
-0.019833459743182753,-0.019833459743182753,-0.019833459743182753
-1.444058217677431e-4,NA,NA
-0.023628664653194763,-0.023628664653194763,-0.023628664653194763
-0.01783550205552896,-0.01783550205552896,NA
-0.02048347443695103,NA,NA
-0.027220152812996858,-0.027220152812996858,-0.027220152812996858
-0.025112927892194464,-0.025112927892194464,-0.025112927892194464
-0.03597890023099756,-0.03597890023099756,-0.03597890023099756
-0.0011242140786375217,NA,NA
-0.023135383875132236,-0.023135383875132236,-0.023135383875132236
-0.010565465540386407,NA,NA
-0.023427994031101646,-0.023427994031101646,-0.023427994031101646
-0.039459467367960806,-0.039459467367960806,-0.039459467367960806
-0.039459467367960806,-0.039459467367960806,-0.039459467367960806
-0.02048347443695103,NA,NA
-0.012527478979918072,NA,NA
-0.02591094287486353,-0.02591094287486353,-0.02591094287486353
-0.015277490716258597,NA,NA
-0.015277490716258597,NA,NA
-0.01944160039663912,-0.01944160039663912,-0.01944160039663912
-0.025112927892194464,-0.025112927892194464,-0.025112927892194464
-0.015277490716258597,NA,NA
-0.026931910973612413,-0.026931910973612413,-0.026931910973612413
-0.008495456954736445,NA,NA
-0.023135383875132236,-0.023135383875132236,-0.023135383875132236
-0.02177372989509972,-0.02177372989509972,-0.02177372989509972
-0.018543533034196456,NA,NA
-0.028105699400399992,-0.028105699400399992,-0.028105699400399992
-0.02048347443695103,NA,NA
-0.013433876731334666,NA,NA
-0.0037742387346080385,NA,NA
-0.02048347443695103,NA,NA
-0.0049891400312940285,NA,NA
-0.0049891400312940285,NA,NA
-0.0011242140786375217,NA,NA
-0.010368590120082016,NA,NA
-0.01870044748792397,-0.01870044748792397,-0.01870044748792397
-0.0011242140786375217,NA,NA
-9.104772385573053e-4,NA,NA
-0.01658756794021907,NA,NA
-0.02048347443695103,NA,NA
-0.018543533034196456,NA,NA
-0.012590546412482584,NA,NA
-0.004781471737262947,NA,NA
-0.04400811365500546,-0.04400811365500546,-0.04400811365500546
-4.570553920375365e-4,NA,NA
-0.015597861386551568,-0.015597861386551568,NA
-0.013973350545394152,NA,NA
-0.021967020985318976,-0.021967020985318976,-0.021967020985318976
1.8056736448535625e-4,NA,NA
