name,fsid,slice,fmol/mg
AE,wt272,118,2259.5299999999997
AE,wt273,118,1767.11
AE,wt274,118,2044.775
AE,wt275,118,1749.71
AE,wt276,118,2246.735
AE,wt277,118,1750.585
AE,wt278,118,2771.935
AE,wt279,118,2387.505
AI,wt272,038,2549.0200000000004
AI,wt273,038,2712.755
AI,wt274,038,2604.69
AI,wt275,038,1231.3674999999998
AI,wt276,038,2796.985
AI,wt277,038,3426.6499999999996
AI,wt278,038,2698.5699999999997
AI,wt279,038,2768.9449999999997
AId,wt272,008,2566.9049999999997
AId,wt273,008,1500.538
AId,wt274,008,1342.4365
AId,wt275,008,2237.83
AId,wt276,008,2816.705
AId,wt277,008,3769.715
AId,wt278,008,2824.3500000000004
AId,wt279,008,2815.58
AO,wt272,008,1486.405
AO,wt273,008,1571.5749999999998
AO,wt274,008,1731.255
AO,wt275,008,1399.8
AO,wt276,008,1585.28
AO,wt277,008,2149.4700000000003
AO,wt278,008,1738.46
AO,wt279,008,1677.33
Cg1,wt272,008,2522.96
Cg1,wt272,038,2287.045
Cg1,wt273,008,2621.605
Cg1,wt273,038,2951.37
Cg1,wt274,008,2770.4449999999997
Cg1,wt275,008,2340.36
Cg1,wt275,038,2263.0150000000003
Cg1,wt276,008,2914.635
Cg1,wt276,038,3426.55
Cg1,wt277,008,3936.855
Cg1,wt277,038,4206.215
Cg1,wt278,008,3864.01
Cg1,wt279,008,3633.385
Cg2,wt272,038,2660.6400000000003
Cg2,wt273,038,2943.23
Cg2,wt274,038,3236.4350000000004
Cg2,wt275,038,2457.69
Cg2,wt276,038,3790.625
Cg2,wt277,038,4181.7
Cg3,wt272,008,2232.255
Cg3,wt273,008,2390.085
Cg3,wt274,008,2608.975
Cg3,wt275,008,2118.0249999999996
Cg3,wt276,008,2691.415
Cg3,wt277,008,3305.66
Cg3,wt278,008,3302.69
Cg3,wt279,008,2920.95
DI,wt272,008,2347.115
DI,wt272,038,2602.3900000000003
DI,wt273,008,2587.905
DI,wt273,038,1484.8315
DI,wt274,008,2637.545
DI,wt274,038,1594.403
DI,wt275,008,1222.6125
DI,wt275,038,2151.8
DI,wt276,008,2793.7299999999996
DI,wt276,038,2773.185
DI,wt277,008,3706.075
DI,wt277,038,3442.5
DI,wt278,008,2874.87
DI,wt278,038,2464.955
DI,wt279,008,2952.25
DI,wt279,038,1439.009
DIE,wt272,118,2140.435
DIE,wt273,118,2060.07
DIE,wt274,118,2111.1400000000003
DIE,wt275,118,1792.94
DIE,wt276,118,2236.1000000000004
DIE,wt277,118,1774.06
DIE,wt278,118,2779.52
DIE,wt279,118,2389.29
DLE,wt272,118,2312.815
DLE,wt273,118,2299.63
DLE,wt274,118,2424.84
DLE,wt275,118,489.638
DLE,wt276,118,2380.15
DLE,wt277,118,1919.315
DLE,wt278,118,3035.4399999999996
DLE,wt279,118,1569.955
DLO,wt272,008,2296.6499999999996
DLO,wt273,008,2739.2349999999997
DLO,wt274,008,2488.91
DLO,wt275,008,2381.22
DLO,wt276,008,2893.98
DLO,wt277,008,3745.34
DLO,wt278,008,2784.44
DLO,wt279,008,2700.65
Ect,wt272,078,2753.35
Ect,wt272,118,2670.035
Ect,wt273,078,2504.925
Ect,wt273,118,2841.325
Ect,wt274,078,2744.195
Ect,wt274,118,2029.573666666667
Ect,wt275,078,2332.67
Ect,wt276,078,2829.02
Ect,wt276,118,2850.37
Ect,wt277,078,2497.82
Ect,wt277,118,2388.06
Ect,wt278,078,3045.875
Ect,wt278,118,3759.955
Ect,wt279,078,3470.1400000000003
Ect,wt279,118,3619.3599999999997
Fr1,wt272,008,2462.3900000000003
Fr1,wt272,038,2289.93
Fr1,wt272,078,2800.545
Fr1,wt273,008,2328.475
Fr1,wt273,038,2620.625
Fr1,wt273,078,2703.7650000000003
Fr1,wt274,008,2437.69
Fr1,wt274,038,2904.925
Fr1,wt274,078,2451.07
Fr1,wt275,008,2374.83
Fr1,wt275,038,2092.215
Fr1,wt275,078,2371.99
Fr1,wt276,008,2569.0
Fr1,wt276,038,3080.7
Fr1,wt276,078,2972.025
Fr1,wt277,008,3486.94
Fr1,wt277,038,3537.27
Fr1,wt278,008,3049.0950000000003
Fr1,wt278,038,2550.285
Fr1,wt279,008,3213.455
Fr1,wt279,038,3355.8599999999997
Fr1,wt279,078,3269.92
Fr2,wt272,008,2726.92
Fr2,wt272,038,2144.79
Fr2,wt273,008,2618.94
Fr2,wt273,038,2711.77
Fr2,wt274,008,2691.295
Fr2,wt274,038,3098.46
Fr2,wt275,008,2571.185
Fr2,wt275,038,2137.16
Fr2,wt276,008,2793.59
Fr2,wt276,038,3181.3500000000004
Fr2,wt277,008,3945.5599999999995
Fr2,wt277,038,3832.0
Fr2,wt278,008,3633.0
Fr2,wt278,038,2654.265
Fr2,wt279,008,3669.98
Fr2,wt279,038,3424.435
Fr3,wt272,008,2386.9449999999997
Fr3,wt273,008,2395.59
Fr3,wt274,008,2400.23
Fr3,wt275,008,2218.27
Fr3,wt276,008,2574.075
Fr3,wt277,008,3475.455
Fr3,wt278,008,2809.545
Fr3,wt279,008,3073.145
GIp,wt272,038,2438.275
GIp,wt273,038,2591.875
GIp,wt274,038,2512.495
GIp,wt275,038,2030.545
GIp,wt276,038,2663.605
GIp,wt277,038,3148.17
GIp,wt278,038,2480.7799999999997
GIp,wt279,038,2834.42
LO,wt272,008,2261.21
LO,wt273,008,2546.27
LO,wt274,008,2192.73
LO,wt275,008,2109.045
LO,wt276,008,2692.8999999999996
LO,wt277,008,3520.8199999999997
LO,wt278,008,2873.1800000000003
LO,wt279,008,2616.375
MO,wt272,008,2170.135
MO,wt273,008,2127.84
MO,wt274,008,2184.8149999999996
MO,wt275,008,1368.7085
MO,wt276,008,2266.94
MO,wt277,008,2756.66
MO,wt278,008,2534.02
MO,wt279,008,2474.4049999999997
Oc1,wt276,118,2614.55
Oc1B,wt272,118,2242.335
Oc1B,wt273,118,2244.3199999999997
Oc1B,wt274,118,2759.62
Oc1B,wt275,118,2114.94
Oc1B,wt277,118,2239.66
Oc1B,wt278,118,3194.865
Oc1B,wt279,118,3165.88
Oc1M,wt272,118,2103.565
Oc1M,wt273,118,2206.665
Oc1M,wt274,118,2660.145
Oc1M,wt275,118,1939.76
Oc1M,wt277,118,2311.55
Oc1M,wt278,118,3329.68
Oc1M,wt279,118,3071.115
Oc2Lid,wt272,118,1386.548
Oc2Lid,wt273,118,2263.115
Oc2Lid,wt274,118,2611.745
Oc2Lid,wt275,118,1959.38
Oc2Lid,wt276,118,2555.535
Oc2Lid,wt277,118,2151.01
Oc2Lid,wt278,118,3323.125
Oc2Lid,wt279,118,3270.05
Oc2MMa,wt272,078,2954.1400000000003
Oc2MMa,wt273,078,2293.66
Oc2MMa,wt276,078,2956.965
Oc2MMa,wt279,078,3591.47
Oc2MMp,wt272,118,2038.42
Oc2MMp,wt273,118,2250.05
Oc2MMp,wt274,118,2767.6000000000004
Oc2MMp,wt275,118,1902.95
Oc2MMp,wt276,118,2608.545
Oc2MMp,wt277,118,2158.1
Oc2MMp,wt278,118,3282.555
Oc2MMp,wt279,118,2539.21
PIr1,wt278,038,1940.955
PRh,wt272,078,2798.585
PRh,wt272,118,2415.44
PRh,wt273,078,2724.8199999999997
PRh,wt273,118,2478.29
PRh,wt274,078,2863.125
PRh,wt274,118,2623.9449999999997
PRh,wt275,078,2202.38
PRh,wt275,118,2049.8
PRh,wt276,078,2854.27
PRh,wt276,118,2449.775
PRh,wt277,078,2598.34
PRh,wt277,118,1251.5725
PRh,wt278,078,3293.9300000000003
PRh,wt278,118,3097.505
PRh,wt279,078,3832.7349999999997
PRh,wt279,118,2919.2749999999996
Par1,wt272,038,2478.31
Par1,wt272,078,2473.99
Par1,wt273,038,2482.455
Par1,wt273,078,2504.41
Par1,wt274,038,2537.1899999999996
Par1,wt274,078,2368.6
Par1,wt275,038,2022.8
Par1,wt275,078,2011.19
Par1,wt276,038,2654.235
Par1,wt276,078,2508.49
Par1,wt277,038,3359.05
Par1,wt278,038,2389.1850000000004
Par1,wt279,038,3138.4750000000004
Par1,wt279,078,3295.66
Par2,wt272,078,2435.815
Par2,wt273,078,2239.12
Par2,wt274,078,2395.495
Par2,wt275,078,2122.19
Par2,wt276,078,2468.49
Par2,wt277,078,2294.32
Par2,wt278,078,2639.175
Par2,wt279,078,3252.865
ParFL,wt272,038,2210.36
ParFL,wt273,038,2536.435
ParFL,wt274,038,2595.015
ParFL,wt275,038,2029.16
ParFL,wt276,038,2665.425
ParFL,wt277,038,3430.7200000000003
ParFL,wt278,038,2415.685
ParFL,wt279,038,3160.4049999999997
ParHL,wt272,038,2288.3199999999997
ParHL,wt272,078,2670.4700000000003
ParHL,wt273,038,2498.965
ParHL,wt273,078,2046.79
ParHL,wt274,038,2794.59
ParHL,wt274,078,2367.0
ParHL,wt275,038,2059.26
ParHL,wt275,078,2180.145
ParHL,wt276,078,2757.59
ParHL,wt277,038,3428.835
ParHL,wt278,038,2447.9700000000003
ParHL,wt279,038,3248.735
ParHL,wt279,078,3347.09
ParJL,wt276,038,2888.08
ParVc,wt272,038,2466.1000000000004
ParVc,wt273,038,2696.9399999999996
ParVc,wt274,038,2563.045
ParVc,wt275,038,2068.915
ParVc,wt276,038,2733.21
ParVc,wt277,038,3326.4449999999997
ParVc,wt278,038,2605.16
ParVc,wt279,038,2985.955
Pir,wt272,038,1914.81
Pir1,wt272,008,1699.8
Pir1,wt272,078,2481.495
Pir1,wt273,008,1991.66
Pir1,wt273,038,1951.79
Pir1,wt273,078,2164.9449999999997
Pir1,wt274,008,1958.03
Pir1,wt274,038,2062.575
Pir1,wt274,078,1453.8715
Pir1,wt275,008,1556.36
Pir1,wt275,038,1700.5
Pir1,wt275,078,1988.625
Pir1,wt276,008,2123.63
Pir1,wt276,038,2093.67
Pir1,wt276,078,2213.005
Pir1,wt277,008,2696.18
Pir1,wt277,038,2460.17
Pir1,wt277,078,2066.735
Pir1,wt278,008,2292.63
Pir1,wt278,078,2527.63
Pir1,wt279,008,2238.19
Pir1,wt279,038,2339.28
Pir1,wt279,078,2984.82
Pir2,wt272,008,1873.3
Pir2,wt273,008,1831.45
Pir2,wt274,008,2034.41
Pir2,wt275,008,1447.44
Pir2,wt276,008,2086.21
Pir2,wt277,008,2798.37
Pir2,wt278,008,2261.68
Pir2,wt279,008,2230.37
RSA,wt272,078,2426.06
RSA,wt272,118,2017.24
RSA,wt273,078,2682.35
RSA,wt273,118,2145.895
RSA,wt274,078,2202.795
RSA,wt274,118,2139.8
RSA,wt275,078,2203.79
RSA,wt275,118,1899.515
RSA,wt276,078,2292.825
RSA,wt276,118,2404.49
RSA,wt277,118,1868.51
RSA,wt278,118,2479.8900000000003
RSA,wt279,078,2639.2349999999997
RSA,wt279,118,2789.125
RSGc,wt272,078,2274.915
RSGc,wt272,118,1756.8600000000001
RSGc,wt273,078,1351.863
RSGc,wt273,118,1837.55
RSGc,wt274,078,1982.82
RSGc,wt274,118,2112.7
RSGc,wt275,078,412.828
RSGc,wt275,118,1723.4050000000002
RSGc,wt276,078,1310.9625
RSGc,wt276,118,2124.255
RSGc,wt277,118,1857.9
RSGc,wt278,118,2492.605
RSGc,wt279,078,2909.43
RSGc,wt279,118,2307.27
Te1,wt272,118,2662.6800000000003
Te1,wt273,118,2439.21
Te1,wt274,118,2817.54
Te1,wt275,118,2126.01
Te1,wt276,118,2501.105
Te1,wt277,118,2267.21
Te1,wt278,118,3283.93
Te1,wt279,118,3422.305
Te2d,wt272,118,2135.3
Te2d,wt273,118,2389.9399999999996
Te2d,wt274,118,2841.57
Te2d,wt275,118,1942.06
Te2d,wt276,118,2505.3
Te2d,wt277,118,2127.03
Te2d,wt278,118,3288.1899999999996
Te2d,wt279,118,3074.48
Te2v,wt272,118,2967.06
Te2v,wt273,118,2659.44
Te2v,wt274,118,2663.065
Te2v,wt275,118,2185.5099999999998
Te2v,wt276,118,2582.0950000000003
Te2v,wt277,118,2334.355
Te2v,wt278,118,3591.24
Te2v,wt279,118,3620.7250000000004
Te3r,wt272,078,2731.94
Te3r,wt273,078,2260.745
Te3r,wt274,078,2563.3050000000003
Te3r,wt275,078,2182.215
Te3r,wt276,078,2564.355
Te3r,wt277,078,2394.955
Te3r,wt278,078,2902.665
Te3r,wt279,078,3433.605
VLO,wt272,008,2443.245
VLO,wt273,008,2237.39
VLO,wt274,008,2209.255
VLO,wt275,008,1940.105
VLO,wt276,008,2560.295
VLO,wt277,008,3215.4449999999997
VLO,wt278,008,2928.8149999999996
VLO,wt279,008,2292.54
VO,wt272,008,2276.665
VO,wt273,008,2087.705
VO,wt274,008,2107.235
VO,wt275,008,2127.51
VO,wt276,008,2359.165
VO,wt277,008,3065.04
VO,wt278,008,2944.05
VO,wt279,008,2405.54
VTT,wt273,008,1638.58
VTT,wt274,008,1884.06
VTT,wt275,008,1165.55
VTT,wt276,008,1556.32
VTT,wt277,008,2155.07
VTT,wt278,008,1763.44
VTT,wt279,008,1535.47
te1,wt277,118,2253.24
